dates,producto,precio_mean
2017-12-03,PAPA PERUANITA (INJERTO),1.05
2017-12-04,PAPA AMARILLA,1.05
2017-12-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2017-12-04,PAPA HUAMANTANGA,0.94
2017-12-04,PAPA PERUANITA (INJERTO),1.05
2017-12-05,PAPA AMARILLA,0.93
2017-12-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2017-12-05,PAPA HUAMANTANGA,0.9
2017-12-05,PAPA PERUANITA (INJERTO),1.05
2017-12-06,PAPA AMARILLA,0.94
2017-12-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2017-12-06,PAPA HUAMANTANGA,0.96
2017-12-06,PAPA PERUANITA (INJERTO),0.96
2017-12-07,PAPA AMARILLA,1.0
2017-12-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2017-12-07,PAPA HUAMANTANGA,0.9
2017-12-07,PAPA PERUANITA (INJERTO),1.04
2017-12-08,PAPA AMARILLA,0.95
2017-12-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.98
2017-12-08,PAPA HUAMANTANGA,0.88
2017-12-08,PAPA PERUANITA (INJERTO),1.01
2017-12-09,PAPA AMARILLA,0.9
2017-12-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2017-12-09,PAPA HUAMANTANGA,0.85
2017-12-09,PAPA PERUANITA (INJERTO),1.03
2017-12-10,PAPA AMARILLA,0.9
2017-12-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2017-12-10,PAPA HUAMANTANGA,0.85
2017-12-10,PAPA PERUANITA (INJERTO),1.03
2017-12-11,PAPA AMARILLA,1.01
2017-12-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2017-12-11,PAPA HUAMANTANGA,0.89
2017-12-11,PAPA PERUANITA (INJERTO),1.05
2017-12-12,PAPA AMARILLA,1.08
2017-12-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2017-12-12,PAPA HUAMANTANGA,0.83
2017-12-12,PAPA PERUANITA (INJERTO),0.9
2017-12-13,PAPA AMARILLA,1.05
2017-12-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2017-12-13,PAPA HUAMANTANGA,0.88
2017-12-13,PAPA PERUANITA (INJERTO),1.05
2017-12-14,PAPA AMARILLA,1.05
2017-12-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.89
2017-12-14,PAPA HUAMANTANGA,0.89
2017-12-14,PAPA PERUANITA (INJERTO),1.05
2017-12-15,PAPA AMARILLA,1.05
2017-12-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.96
2017-12-15,PAPA HUAMANTANGA,0.86
2017-12-15,PAPA PERUANITA (INJERTO),1.05
2017-12-16,PAPA AMARILLA,1.01
2017-12-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.96
2017-12-16,PAPA HUAMANTANGA,0.89
2017-12-16,PAPA PERUANITA (INJERTO),0.99
2017-12-17,PAPA AMARILLA,1.01
2017-12-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.96
2017-12-17,PAPA HUAMANTANGA,0.89
2017-12-17,PAPA PERUANITA (INJERTO),0.99
2017-12-18,PAPA AMARILLA,1.01
2017-12-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2017-12-18,PAPA HUAMANTANGA,0.75
2017-12-18,PAPA PERUANITA (INJERTO),1.0
2017-12-19,PAPA AMARILLA,1.14
2017-12-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.14
2017-12-19,PAPA HUAMANTANGA,0.85
2017-12-19,PAPA PERUANITA (INJERTO),1.14
2017-12-20,PAPA AMARILLA,1.35
2017-12-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.14
2017-12-20,PAPA HUAMANTANGA,1.0
2017-12-20,PAPA PERUANITA (INJERTO),1.35
2017-12-21,PAPA AMARILLA,1.88
2017-12-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2017-12-21,PAPA HUAMANTANGA,1.15
2017-12-21,PAPA PERUANITA (INJERTO),1.55
2017-12-22,PAPA AMARILLA,1.73
2017-12-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2017-12-22,PAPA HUAMANTANGA,1.1
2017-12-22,PAPA PERUANITA (INJERTO),1.45
2017-12-23,PAPA AMARILLA,1.78
2017-12-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2017-12-23,PAPA HUAMANTANGA,1.1
2017-12-23,PAPA PERUANITA (INJERTO),1.55
2017-12-24,PAPA AMARILLA,1.63
2017-12-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2017-12-24,PAPA HUAMANTANGA,1.05
2017-12-24,PAPA PERUANITA (INJERTO),1.4
2017-12-25,PAPA AMARILLA,1.63
2017-12-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2017-12-25,PAPA HUAMANTANGA,1.05
2017-12-25,PAPA PERUANITA (INJERTO),1.4
2017-12-26,PAPA AMARILLA,1.45
2017-12-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2017-12-26,PAPA HUAMANTANGA,1.0
2017-12-26,PAPA PERUANITA (INJERTO),1.25
2017-12-27,PAPA AMARILLA,1.55
2017-12-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2017-12-27,PAPA HUAMANTANGA,1.05
2017-12-27,PAPA PERUANITA (INJERTO),1.3
2017-12-28,PAPA AMARILLA,1.25
2017-12-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2017-12-28,PAPA HUAMANTANGA,1.05
2017-12-28,PAPA PERUANITA (INJERTO),1.25
2017-12-29,PAPA AMARILLA,1.25
2017-12-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2017-12-29,PAPA HUAMANTANGA,1.03
2017-12-29,PAPA PERUANITA (INJERTO),1.25
2017-12-30,PAPA AMARILLA,1.35
2017-12-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.28
2017-12-30,PAPA HUAMANTANGA,1.05
2017-12-30,PAPA PERUANITA (INJERTO),1.25
2017-12-31,PAPA AMARILLA,1.33
2017-12-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2017-12-31,PAPA HUAMANTANGA,1.09
2017-12-31,PAPA PERUANITA (INJERTO),1.25
2018-01-01,PAPA AMARILLA,1.33
2018-01-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2018-01-01,PAPA HUAMANTANGA,1.09
2018-01-01,PAPA PERUANITA (INJERTO),1.25
2018-01-02,PAPA AMARILLA,1.3
2018-01-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2018-01-02,PAPA HUAMANTANGA,1.14
2018-01-02,PAPA PERUANITA (INJERTO),1.25
2018-01-03,PAPA AMARILLA,1.35
2018-01-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2018-01-03,PAPA HUAMANTANGA,1.14
2018-01-03,PAPA PERUANITA (INJERTO),1.25
2018-01-04,PAPA AMARILLA,1.5
2018-01-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.7
2018-01-04,PAPA HUAMANTANGA,1.14
2018-01-04,PAPA PERUANITA (INJERTO),1.55
2018-01-05,PAPA AMARILLA,1.45
2018-01-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2018-01-05,PAPA HUAMANTANGA,1.25
2018-01-05,PAPA PERUANITA (INJERTO),1.58
2018-01-06,PAPA AMARILLA,1.55
2018-01-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.58
2018-01-06,PAPA HUAMANTANGA,1.28
2018-01-06,PAPA PERUANITA (INJERTO),1.61
2018-01-07,PAPA AMARILLA,1.55
2018-01-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.58
2018-01-07,PAPA HUAMANTANGA,1.28
2018-01-07,PAPA PERUANITA (INJERTO),1.28
2018-01-08,PAPA AMARILLA,1.65
2018-01-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2018-01-08,PAPA HUAMANTANGA,1.4
2018-01-08,PAPA PERUANITA (INJERTO),1.55
2018-01-09,PAPA AMARILLA,1.65
2018-01-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.48
2018-01-09,PAPA HUAMANTANGA,1.28
2018-01-09,PAPA PERUANITA (INJERTO),1.65
2018-01-10,PAPA AMARILLA,2.45
2018-01-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.75
2018-01-10,PAPA HUAMANTANGA,1.55
2018-01-10,PAPA PERUANITA (INJERTO),2.0
2018-01-11,PAPA AMARILLA,2.7
2018-01-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.73
2018-01-11,PAPA HUAMANTANGA,1.65
2018-01-11,PAPA PERUANITA (INJERTO),1.78
2018-01-12,PAPA AMARILLA,2.53
2018-01-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.7
2018-01-12,PAPA HUAMANTANGA,1.65
2018-01-12,PAPA PERUANITA (INJERTO),2.08
2018-01-13,PAPA AMARILLA,2.7
2018-01-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.8
2018-01-13,PAPA HUAMANTANGA,1.88
2018-01-13,PAPA PERUANITA (INJERTO),2.0
2018-01-14,PAPA AMARILLA,2.58
2018-01-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-01-14,PAPA HUAMANTANGA,1.88
2018-01-14,PAPA PERUANITA (INJERTO),2.0
2018-01-15,PAPA AMARILLA,2.13
2018-01-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.7
2018-01-15,PAPA HUAMANTANGA,1.65
2018-01-15,PAPA PERUANITA (INJERTO),1.83
2018-01-16,PAPA AMARILLA,1.85
2018-01-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.7
2018-01-16,PAPA HUAMANTANGA,1.6
2018-01-16,PAPA PERUANITA (INJERTO),1.7
2018-01-17,PAPA AMARILLA,1.65
2018-01-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2018-01-17,PAPA HUAMANTANGA,1.4
2018-01-17,PAPA PERUANITA (INJERTO),1.6
2018-01-18,PAPA AMARILLA,2.23
2018-01-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.46
2018-01-18,PAPA HUAMANTANGA,1.5
2018-01-18,PAPA PERUANITA (INJERTO),1.6
2018-01-19,PAPA AMARILLA,1.9
2018-01-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.4
2018-01-19,PAPA HUAMANTANGA,1.35
2018-01-19,PAPA PERUANITA (INJERTO),1.55
2018-01-20,PAPA AMARILLA,2.08
2018-01-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2018-01-20,PAPA HUAMANTANGA,1.33
2018-01-20,PAPA PERUANITA (INJERTO),1.65
2018-01-21,PAPA AMARILLA,2.08
2018-01-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2018-01-21,PAPA HUAMANTANGA,1.33
2018-01-21,PAPA PERUANITA (INJERTO),1.65
2018-01-22,PAPA AMARILLA,1.73
2018-01-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.4
2018-01-22,PAPA HUAMANTANGA,1.25
2018-01-22,PAPA PERUANITA (INJERTO),1.45
2018-01-23,PAPA AMARILLA,1.58
2018-01-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.4
2018-01-23,PAPA HUAMANTANGA,1.25
2018-01-23,PAPA PERUANITA (INJERTO),1.45
2018-01-24,PAPA AMARILLA,1.55
2018-01-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.4
2018-01-24,PAPA HUAMANTANGA,1.25
2018-01-24,PAPA PERUANITA (INJERTO),1.35
2018-01-25,PAPA AMARILLA,1.55
2018-01-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-01-25,PAPA HUAMANTANGA,1.15
2018-01-25,PAPA PERUANITA (INJERTO),1.45
2018-01-26,PAPA AMARILLA,1.45
2018-01-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-01-26,PAPA HUAMANTANGA,1.08
2018-01-26,PAPA PERUANITA (INJERTO),1.45
2018-01-27,PAPA AMARILLA,1.45
2018-01-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-01-27,PAPA HUAMANTANGA,1.08
2018-01-27,PAPA PERUANITA (INJERTO),1.45
2018-01-28,PAPA AMARILLA,1.45
2018-01-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-01-28,PAPA HUAMANTANGA,1.08
2018-01-28,PAPA PERUANITA (INJERTO),1.45
2018-01-29,PAPA AMARILLA,1.53
2018-01-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2018-01-29,PAPA HUAMANTANGA,1.08
2018-01-29,PAPA PERUANITA (INJERTO),1.25
2018-01-30,PAPA AMARILLA,1.65
2018-01-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-01-30,PAPA HUAMANTANGA,1.23
2018-01-30,PAPA PERUANITA (INJERTO),1.25
2018-01-31,PAPA AMARILLA,2.15
2018-01-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2018-01-31,PAPA HUAMANTANGA,1.25
2018-01-31,PAPA PERUANITA (INJERTO),1.45
2018-02-01,PAPA AMARILLA,2.55
2018-02-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2018-02-01,PAPA HUAMANTANGA,1.35
2018-02-01,PAPA PERUANITA (INJERTO),1.45
2018-02-02,PAPA AMARILLA,2.25
2018-02-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2018-02-02,PAPA HUAMANTANGA,1.25
2018-02-02,PAPA PERUANITA (INJERTO),1.65
2018-02-03,PAPA AMARILLA,3.0
2018-02-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.35
2018-02-03,PAPA HUAMANTANGA,1.45
2018-02-03,PAPA PERUANITA (INJERTO),2.35
2018-02-04,PAPA AMARILLA,3.0
2018-02-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2.35
2018-02-04,PAPA HUAMANTANGA,1.45
2018-02-04,PAPA PERUANITA (INJERTO),2.35
2018-02-05,PAPA AMARILLA,2.4
2018-02-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.88
2018-02-05,PAPA HUAMANTANGA,1.48
2018-02-05,PAPA PERUANITA (INJERTO),1.88
2018-02-06,PAPA AMARILLA,2.58
2018-02-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.85
2018-02-06,PAPA HUAMANTANGA,1.35
2018-02-06,PAPA PERUANITA (INJERTO),1.85
2018-02-07,PAPA AMARILLA,2.25
2018-02-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.78
2018-02-07,PAPA HUAMANTANGA,1.15
2018-02-07,PAPA PERUANITA (INJERTO),1.7
2018-02-08,PAPA AMARILLA,2.08
2018-02-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.9
2018-02-08,PAPA HUAMANTANGA,1.25
2018-02-08,PAPA PERUANITA (INJERTO),1.73
2018-02-09,PAPA AMARILLA,1.73
2018-02-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2018-02-09,PAPA HUAMANTANGA,1.2
2018-02-09,PAPA PERUANITA (INJERTO),1.53
2018-02-10,PAPA AMARILLA,1.78
2018-02-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2018-02-10,PAPA HUAMANTANGA,1.2
2018-02-10,PAPA PERUANITA (INJERTO),1.55
2018-02-11,PAPA AMARILLA,1.78
2018-02-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2018-02-11,PAPA HUAMANTANGA,1.2
2018-02-11,PAPA PERUANITA (INJERTO),1.55
2018-02-12,PAPA AMARILLA,1.35
2018-02-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-02-12,PAPA HUAMANTANGA,1.2
2018-02-12,PAPA PERUANITA (INJERTO),1.15
2018-02-13,PAPA AMARILLA,1.23
2018-02-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2018-02-13,PAPA HUAMANTANGA,1.05
2018-02-13,PAPA PERUANITA (INJERTO),1.05
2018-02-14,PAPA AMARILLA,1.05
2018-02-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2018-02-14,PAPA HUAMANTANGA,0.9
2018-02-14,PAPA PERUANITA (INJERTO),0.95
2018-02-15,PAPA AMARILLA,0.9
2018-02-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.88
2018-02-15,PAPA HUAMANTANGA,1.1
2018-02-15,PAPA PERUANITA (INJERTO),0.9
2018-02-16,PAPA AMARILLA,0.95
2018-02-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.86
2018-02-16,PAPA HUAMANTANGA,0.99
2018-02-16,PAPA PERUANITA (INJERTO),0.9
2018-02-17,PAPA AMARILLA,1.3
2018-02-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.86
2018-02-17,PAPA HUAMANTANGA,1.0
2018-02-17,PAPA PERUANITA (INJERTO),1.05
2018-02-18,PAPA AMARILLA,1.15
2018-02-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.86
2018-02-18,PAPA HUAMANTANGA,1.0
2018-02-18,PAPA PERUANITA (INJERTO),1.05
2018-02-19,PAPA AMARILLA,1.8
2018-02-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2018-02-19,PAPA HUAMANTANGA,1.1
2018-02-19,PAPA PERUANITA (INJERTO),1.35
2018-02-20,PAPA AMARILLA,1.7
2018-02-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.38
2018-02-20,PAPA HUAMANTANGA,1.0
2018-02-20,PAPA PERUANITA (INJERTO),1.38
2018-02-21,PAPA AMARILLA,1.73
2018-02-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2018-02-21,PAPA HUAMANTANGA,1.08
2018-02-21,PAPA PERUANITA (INJERTO),1.35
2018-02-22,PAPA AMARILLA,1.6
2018-02-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-02-22,PAPA HUAMANTANGA,1.1
2018-02-22,PAPA PERUANITA (INJERTO),1.35
2018-02-23,PAPA AMARILLA,1.5
2018-02-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2018-02-23,PAPA HUAMANTANGA,0.95
2018-02-23,PAPA PERUANITA (INJERTO),1.2
2018-02-24,PAPA AMARILLA,1.3
2018-02-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2018-02-24,PAPA HUAMANTANGA,1.08
2018-02-24,PAPA PERUANITA (INJERTO),1.1
2018-02-25,PAPA AMARILLA,1.3
2018-02-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2018-02-25,PAPA HUAMANTANGA,1.08
2018-02-25,PAPA PERUANITA (INJERTO),1.1
2018-02-26,PAPA AMARILLA,1.25
2018-02-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2018-02-26,PAPA HUAMANTANGA,1.05
2018-02-26,PAPA PERUANITA (INJERTO),1.15
2018-02-27,PAPA AMARILLA,1.25
2018-02-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-02-27,PAPA HUAMANTANGA,1.1
2018-02-27,PAPA PERUANITA (INJERTO),1.2
2018-02-28,PAPA AMARILLA,1.15
2018-02-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2018-02-28,PAPA HUAMANTANGA,1.0
2018-02-28,PAPA PERUANITA (INJERTO),1.1
2018-03-01,PAPA AMARILLA,1.15
2018-03-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.9
2018-03-01,PAPA HUAMANTANGA,0.95
2018-03-01,PAPA PERUANITA (INJERTO),1.05
2018-03-02,PAPA AMARILLA,1.15
2018-03-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2018-03-02,PAPA HUAMANTANGA,1.0
2018-03-02,PAPA PERUANITA (INJERTO),1.05
2018-03-03,PAPA AMARILLA,1.25
2018-03-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2018-03-03,PAPA HUAMANTANGA,0.98
2018-03-03,PAPA PERUANITA (INJERTO),1.08
2018-03-04,PAPA AMARILLA,1.25
2018-03-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2018-03-04,PAPA HUAMANTANGA,0.98
2018-03-04,PAPA PERUANITA (INJERTO),1.08
2018-03-05,PAPA AMARILLA,1.25
2018-03-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-03-05,PAPA HUAMANTANGA,0.95
2018-03-05,PAPA PERUANITA (INJERTO),1.0
2018-03-06,PAPA AMARILLA,1.28
2018-03-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-03-06,PAPA HUAMANTANGA,0.93
2018-03-06,PAPA PERUANITA (INJERTO),1.18
2018-03-07,PAPA AMARILLA,1.28
2018-03-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2018-03-07,PAPA HUAMANTANGA,0.85
2018-03-07,PAPA PERUANITA (INJERTO),1.2
2018-03-08,PAPA AMARILLA,1.25
2018-03-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2018-03-08,PAPA HUAMANTANGA,0.85
2018-03-08,PAPA PERUANITA (INJERTO),1.21
2018-03-09,PAPA AMARILLA,1.35
2018-03-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-03-09,PAPA HUAMANTANGA,0.85
2018-03-09,PAPA PERUANITA (INJERTO),1.2
2018-03-10,PAPA AMARILLA,1.35
2018-03-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-03-10,PAPA HUAMANTANGA,0.88
2018-03-10,PAPA PERUANITA (INJERTO),1.15
2018-03-11,PAPA AMARILLA,1.33
2018-03-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-03-11,PAPA HUAMANTANGA,0.88
2018-03-11,PAPA PERUANITA (INJERTO),1.15
2018-03-12,PAPA AMARILLA,1.25
2018-03-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2018-03-12,PAPA HUAMANTANGA,0.86
2018-03-12,PAPA PERUANITA (INJERTO),1.15
2018-03-13,PAPA AMARILLA,1.25
2018-03-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2018-03-13,PAPA HUAMANTANGA,0.84
2018-03-13,PAPA PERUANITA (INJERTO),1.09
2018-03-14,PAPA AMARILLA,1.15
2018-03-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2018-03-14,PAPA HUAMANTANGA,0.88
2018-03-14,PAPA PERUANITA (INJERTO),1.09
2018-03-15,PAPA AMARILLA,1.25
2018-03-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2018-03-15,PAPA HUAMANTANGA,0.88
2018-03-15,PAPA PERUANITA (INJERTO),1.09
2018-03-16,PAPA AMARILLA,1.25
2018-03-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2018-03-16,PAPA HUAMANTANGA,0.9
2018-03-16,PAPA PERUANITA (INJERTO),1.09
2018-03-17,PAPA AMARILLA,1.25
2018-03-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2018-03-17,PAPA HUAMANTANGA,0.89
2018-03-17,PAPA PERUANITA (INJERTO),1.08
2018-03-18,PAPA AMARILLA,1.25
2018-03-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2018-03-18,PAPA HUAMANTANGA,0.89
2018-03-18,PAPA PERUANITA (INJERTO),1.08
2018-03-19,PAPA AMARILLA,1.55
2018-03-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2018-03-19,PAPA HUAMANTANGA,1.0
2018-03-19,PAPA PERUANITA (INJERTO),1.09
2018-03-20,PAPA AMARILLA,1.73
2018-03-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2018-03-20,PAPA HUAMANTANGA,1.05
2018-03-20,PAPA PERUANITA (INJERTO),1.15
2018-03-21,PAPA AMARILLA,1.73
2018-03-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2018-03-21,PAPA HUAMANTANGA,1.1
2018-03-21,PAPA PERUANITA (INJERTO),1.15
2018-03-22,PAPA AMARILLA,1.73
2018-03-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2018-03-22,PAPA HUAMANTANGA,1.08
2018-03-22,PAPA PERUANITA (INJERTO),1.15
2018-03-23,PAPA AMARILLA,1.73
2018-03-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2018-03-23,PAPA HUAMANTANGA,1.01
2018-03-23,PAPA PERUANITA (INJERTO),1.15
2018-03-24,PAPA AMARILLA,1.65
2018-03-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2018-03-24,PAPA HUAMANTANGA,1.01
2018-03-24,PAPA PERUANITA (INJERTO),1.18
2018-03-25,PAPA AMARILLA,1.65
2018-03-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2018-03-25,PAPA HUAMANTANGA,1.01
2018-03-25,PAPA PERUANITA (INJERTO),1.18
2018-03-26,PAPA AMARILLA,1.65
2018-03-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2018-03-26,PAPA HUAMANTANGA,1.01
2018-03-26,PAPA PERUANITA (INJERTO),1.15
2018-03-27,PAPA AMARILLA,1.45
